configuration,"instruction type: [2, 2]",traffic const: 0.25,4500.0 cars / hour
car id,turn type,lane,optimal travel time,actual travel time,delay
0,2,straight,5.102018275000528,74.0,68.89798172499947
1,2,straight,5.603489166934162,75.4,69.79651083306584
2,2,straight,5.319194693515238,13.5,8.180805306484762
3,1,straight,5.264474390377193,62.300000000000004,57.03552560962281
4,2,straight,5.097487595231236,12.700000000000001,7.602512404768765
5,2,straight,5.1108009484419625,17.3,12.189199051558038
6,1,straight,4.598866532828577,11.9,7.301133467171423
7,1,left,4.58980936321295,28.200000000000003,23.610190636787053
8,2,straight,5.0904694557891235,68.0,62.909530544210874
9,1,straight,4.672723322445631,29.1,24.42727667755437
10,1,left,4.4345293068467875,84.30000000000001,79.86547069315323
11,1,left,4.852487269232971,52.1,47.24751273076703
12,1,straight,5.067905602746812,56.5,51.43209439725319
13,2,straight,4.5020728121141795,75.60000000000001,71.09792718788583
14,2,straight,4.631707954767958,77.5,72.86829204523204
15,1,left,5.188305321596927,61.7,56.511694678403074
16,1,left,4.637211903269516,20.0,15.362788096730483
17,2,straight,4.685368239697134,82.30000000000001,77.61463176030287
18,2,straight,4.468629991906322,95.4,90.93137000809368
19,2,straight,4.444829065962285,85.4,80.95517093403772
20,1,straight,4.470836057059013,12.100000000000001,7.6291639429409885
21,1,straight,4.912314669632897,62.1,57.1876853303671
22,1,left,4.9723866354346535,67.4,62.42761336456535
23,1,left,5.1480456142469615,72.2,67.05195438575304
24,1,straight,4.489973007874248,93.9,89.41002699212575
25,1,straight,4.595181168545107,94.5,89.90481883145489
26,1,left,5.014459376100857,70.5,65.48554062389914
27,2,straight,5.370055425204656,73.60000000000001,68.22994457479535
28,1,left,5.451634167372409,35.0,29.548365832627592
29,1,left,4.388094998666726,103.9,99.51190500133328
30,2,straight,4.493965297087945,26.0,21.506034702912054
31,2,straight,5.601179844130748,69.60000000000001,63.99882015586926
32,1,straight,5.024295562575054,84.80000000000001,79.77570443742496
33,1,straight,5.870297511920103,39.400000000000006,33.529702488079906
34,1,left,4.383365061771442,89.2,84.81663493822856
35,2,straight,4.8905010928946915,80.9,76.00949890710531
36,1,left,4.806759585852945,101.0,96.19324041414706
37,1,straight,4.494393647056647,130.6,126.10560635294334
38,2,straight,5.975839500025017,162.5,156.52416049997498
39,1,straight,5.753774121128384,61.0,55.24622587887161
40,2,straight,6.45221721443631,155.60000000000002,149.14778278556372
41,1,left,4.9212496408179796,106.10000000000001,101.17875035918203
42,1,straight,6.284503903536646,153.5,147.21549609646334
43,1,left,4.626435532504481,120.4,115.77356446749552
44,1,straight,5.1406066380823825,100.80000000000001,95.65939336191762
45,1,straight,4.507830920856936,88.30000000000001,83.79216907914308
46,1,straight,4.49297626492282,155.70000000000002,151.2070237350772
47,1,left,4.47744847004028,93.5,89.02255152995971
48,1,straight,5.334052305854399,105.80000000000001,100.46594769414561
49,1,straight,5.925177455567298,174.20000000000002,168.2748225444327
50,2,straight,4.70465068947727,78.30000000000001,73.59534931052274
51,1,straight,5.198254768629421,101.30000000000001,96.10174523137059
52,2,straight,4.4662716606558694,19.3,14.83372833934413
53,1,straight,4.4514607481116375,119.2,114.74853925188836
54,1,straight,4.463002169592752,124.5,120.03699783040724
55,1,straight,4.633645111294063,128.8,124.16635488870595
56,1,straight,5.400869762456674,194.20000000000002,188.79913023754335
57,2,straight,4.867828686924398,71.60000000000001,66.73217131307561
58,2,straight,4.656611011872341,137.9,133.24338898812766
59,1,left,5.674977046070774,199.0,193.32502295392922
60,1,left,5.215082430268715,140.9,135.68491756973128
61,1,straight,4.609301139658434,134.20000000000002,129.59069886034158
62,1,left,6.2676823339383825,165.70000000000002,159.43231766606164
63,1,left,4.458582091099407,223.70000000000002,219.24141790890062
64,1,straight,7.197547605688126,141.9,134.70245239431188
65,1,left,6.66132578384709,141.8,135.13867421615294
66,2,straight,5.01351557324308,76.2,71.18648442675692
67,2,straight,4.544814058414594,134.9,130.3551859415854
68,2,straight,4.9824298524359225,54.900000000000006,49.917570147564085
69,1,straight,5.813671337578391,216.9,211.0863286624216
70,1,left,6.540195892207265,141.8,135.25980410779275
71,2,straight,5.126348698650725,91.80000000000001,86.67365130134928
72,1,left,6.297303657288941,221.8,215.50269634271106
73,1,straight,7.346804855918547,142.4,135.05319514408146
74,2,straight,4.508200258358122,76.7,72.19179974164189
75,1,left,4.644969258534576,138.20000000000002,133.55503074146543
76,1,straight,6.723719661649428,141.5,134.77628033835057
77,2,straight,4.52335250574588,130.8,126.27664749425414
78,1,straight,6.64928919669157,141.20000000000002,134.55071080330845
79,1,left,6.595750580309326,141.6,135.00424941969067
80,2,straight,4.8927657898624695,78.60000000000001,73.70723421013754
81,2,straight,4.81593540037812,78.80000000000001,73.98406459962189
82,2,straight,5.1226295997464675,39.300000000000004,34.17737040025354
83,1,straight,6.6287174903211925,141.20000000000002,134.57128250967884
84,1,straight,6.639445895016582,141.70000000000002,135.06055410498342
85,1,left,7.109443581136873,230.4,223.29055641886313
86,2,straight,5.3131617722642694,44.2,38.88683822773574
87,2,straight,5.011024129561502,83.60000000000001,78.5889758704385
88,2,straight,5.182814866120606,88.7,83.5171851338794
89,1,straight,6.628495550787322,229.3,222.67150444921268
90,1,left,6.672791464295397,147.1,140.4272085357046
91,1,left,6.5722503496579,142.0,135.4277496503421
92,1,left,6.803936091880121,229.9,223.09606390811987
93,2,straight,4.647597783221524,46.5,41.85240221677847
94,2,straight,5.458295166406427,61.900000000000006,56.441704833593576
95,1,straight,7.12485753236519,229.8,222.67514246763483
96,1,left,4.447994887143339,223.70000000000002,219.25200511285666
97,2,straight,4.6927061329904385,130.8,126.10729386700957
98,2,straight,5.340599942639557,94.0,88.65940005736044
99,2,straight,4.665300929612668,224.10000000000002,219.43469907038735
100,1,left,6.820664408414172,147.3,140.47933559158585
101,2,straight,5.069381635251696,136.0,130.9306183647483
102,2,straight,4.459656294067598,123.80000000000001,119.34034370593241
103,2,straight,4.503654323031776,149.3,144.79634567696823
104,2,straight,4.652102039535247,229.4,224.74789796046477
105,2,straight,5.036340849517173,151.5,146.46365915048284
106,2,straight,4.475513801970568,129.1,124.62448619802943
107,1,left,7.9921481491450335,143.5,135.50785185085496
108,2,straight,6.951161783075264,141.9,134.94883821692474
109,2,straight,6.862688841895041,141.6,134.73731115810494
110,2,straight,4.489384561766027,134.3,129.81061543823398
111,2,straight,6.86863545169109,141.5,134.6313645483089
112,2,straight,4.525448712421902,139.3,134.7745512875781
113,1,left,6.73715593733306,147.20000000000002,140.46284406266696
114,1,straight,7.2606820732881685,141.9,134.63931792671184
115,1,straight,7.0985024641484245,141.8,134.7014975358516
116,1,straight,7.202893370151634,141.8,134.59710662984838
117,1,left,7.473966853732551,142.9,135.42603314626746
118,2,straight,5.359306513179449,71.0,65.64069348682055
119,1,left,7.139391085809638,142.20000000000002,135.06060891419037
120,1,straight,6.955413808781389,229.5,222.5445861912186
121,1,left,7.734406895445286,230.8,223.06559310455472
122,1,straight,6.64795009039074,229.5,222.85204990960926
123,1,left,6.690137867534725,141.9,135.20986213246528
124,2,straight,4.622498434229504,149.4,144.7775015657705
125,2,straight,4.587464686518846,137.5,132.91253531348116
