configuration,"instruction type: [2, 2]",traffic const: 0.75,13500.0 cars / hour
car id,turn type,lane,optimal travel time,actual travel time,delay
0,2,straight,4.808449157792166,16.1,11.291550842207835
1,1,left,5.099991021938047,13.600000000000001,8.500008978061954
2,2,straight,5.84354585951703,17.7,11.85645414048297
3,2,straight,5.102070433343535,16.400000000000002,11.297929566656467
4,1,left,4.693145083481014,16.5,11.806854916518986
5,2,straight,5.230566974827316,15.600000000000001,10.369433025172686
6,2,straight,4.842114820330478,25.5,20.65788517966952
7,2,straight,5.223581726199879,24.0,18.77641827380012
8,1,left,4.624287200856126,19.700000000000003,15.075712799143876
9,1,left,4.831380493043542,13.100000000000001,8.268619506956458
10,2,straight,5.065533712990058,30.900000000000002,25.834466287009946
11,1,left,4.881600233175901,25.3,20.4183997668241
12,1,left,4.772225516474042,30.200000000000003,25.427774483525962
13,1,left,4.693147700778552,16.8,12.106852299221448
14,1,left,4.747397750635481,38.5,33.75260224936452
15,2,straight,5.055538285500957,25.200000000000003,20.144461714499045
16,1,left,4.605547161605736,21.1,16.494452838394267
17,1,left,4.685810644672412,30.400000000000002,25.71418935532759
18,1,left,4.693065240941432,15.8,11.106934759058568
19,1,left,4.67071139606783,15.9,11.22928860393217
20,2,straight,5.093152074168385,35.300000000000004,30.206847925831617
21,2,straight,4.548331221491809,20.400000000000002,15.851668778508193
22,2,straight,4.685312306121508,43.7,39.01468769387849
23,1,left,4.574119791806074,32.7,28.12588020819393
24,1,left,5.201560170332063,36.7,31.49843982966794
25,2,straight,4.949012804092893,24.0,19.050987195907105
26,2,straight,4.8246347091211055,32.6,27.775365290878895
27,1,left,4.862073430998238,34.800000000000004,29.937926569001768
28,1,left,5.018172436445186,40.0,34.981827563554816
29,1,left,4.605492011565749,15.8,11.194507988434252
30,2,straight,4.524314965509835,15.600000000000001,11.075685034490167
31,2,straight,4.563019170113026,31.900000000000002,27.336980829886976
32,2,straight,4.910100760333982,42.6,37.68989923966602
33,1,left,4.724551640093106,36.7,31.9754483599069
34,1,left,4.825996858245296,42.0,37.1740031417547
35,2,straight,4.8396309178324595,32.4,27.56036908216754
36,1,left,4.685744807266988,21.200000000000003,16.514255192733014
37,1,left,4.492668212731036,12.4,7.907331787268965
38,1,left,4.843184930720974,42.5,37.65681506927903
39,1,left,4.548298418733646,21.1,16.551701581266357
40,2,straight,5.045878297207612,35.0,29.95412170279239
41,1,left,4.598438680370829,26.400000000000002,21.801561319629172
42,1,left,4.897466265343264,47.900000000000006,43.002533734656744
43,1,left,4.46662742413252,19.5,15.03337257586748
44,1,left,4.943403157886803,51.400000000000006,46.4565968421132
45,1,left,4.814622862483998,20.900000000000002,16.085377137516005
46,2,straight,4.535029838946538,15.9,11.364970161053463
47,1,left,4.515071013019534,24.8,20.284928986980468
48,1,left,4.930310543184619,30.1,25.169689456815384
49,1,left,5.028777152226797,28.900000000000002,23.871222847773204
50,1,left,4.445022913830108,55.7,51.254977086169895
51,2,straight,4.571747630707964,25.700000000000003,21.12825236929204
52,1,left,4.49347746791711,33.300000000000004,28.806522532082894
53,1,left,5.0986761722485765,35.4,30.30132382775142
54,2,straight,4.531353047975981,48.900000000000006,44.36864695202402
