configuration,"instruction type: [1, 1]",traffic const: 0.5,9000.0 cars / hour
car id,turn type,lane,optimal travel time,actual travel time,delay
0,1,left,5.4860586512830505,13.9,8.41394134871695
1,1,straight,5.024096470508266,14.0,8.975903529491735
2,1,straight,5.77396780035614,13.9,8.12603219964386
3,1,left,5.529856789454089,20.0,14.47014321054591
4,1,straight,5.080178656567267,13.9,8.819821343432732
5,1,left,4.903321053519552,21.200000000000003,16.29667894648045
6,1,straight,5.171012268384358,13.700000000000001,8.528987731615643
7,1,left,5.360424613573215,13.5,8.139575386426785
8,1,left,5.246856618493283,21.8,16.553143381506718
9,1,straight,5.27293357487198,14.8,9.52706642512802
10,1,left,5.070446590894294,20.400000000000002,15.329553409105708
11,1,straight,5.212054129461769,22.700000000000003,17.487945870538233
12,1,straight,5.080197448549079,14.5,9.419802551450921
13,1,straight,5.106337278202804,21.200000000000003,16.093662721797198
14,1,left,5.107243315286285,28.6,23.49275668471372
15,1,left,4.903253609229012,27.8,22.89674639077099
16,1,straight,4.804662413436557,18.6,13.795337586563445
17,1,straight,4.929450752671011,32.2,27.270549247328994
18,1,left,5.071297633699911,20.400000000000002,15.328702366300092
19,1,left,4.92331872452084,39.7,34.77668127547916
20,1,left,5.020397231836746,19.700000000000003,14.679602768163257
21,1,straight,5.052879268962259,38.5,33.44712073103774
22,1,straight,5.1590612150276405,45.5,40.34093878497236
23,1,straight,4.953435395817848,25.8,20.846564604182152
24,1,straight,5.281088662268496,52.400000000000006,47.11891133773151
25,1,left,5.431098610555669,59.5,54.068901389444335
26,1,left,4.665838011140775,24.0,19.334161988859226
27,1,left,5.119702155602044,26.700000000000003,21.580297844397958
28,1,left,5.635289106035289,66.2,60.564710893964715
29,1,left,4.786421803170528,18.400000000000002,13.613578196829474
30,1,straight,4.773964539418549,31.1,26.32603546058145
31,1,straight,5.316962836525249,69.2,63.883037163474754
32,1,left,5.1872100283197495,74.8,69.61278997168024
33,1,straight,4.786011957407731,37.800000000000004,33.013988042592274
34,1,straight,4.8123580756165465,44.5,39.687641924383456
35,1,left,6.936334132298508,75.9,68.9636658677015
36,1,left,4.685677341187436,23.5,18.814322658812564
37,1,left,5.226418295190378,48.300000000000004,43.07358170480963
38,1,straight,6.949488654267692,75.3,68.3505113457323
39,1,straight,4.847113894768506,18.2,13.352886105231494
40,1,straight,5.424046505920373,54.400000000000006,48.97595349407963
41,1,straight,5.701744996901064,54.6,48.89825500309894
42,1,straight,6.9678687100206895,75.4,68.43213128997931
