configuration,"instruction type: [2, 2]",traffic const: 0.25,4500.0 cars / hour
car id,turn type,lane,optimal travel time,actual travel time,delay
0,2,straight,5.102018275000528,18.900000000000002,13.797981724999474
1,2,straight,5.358073393521037,18.900000000000002,13.541926606478965
2,1,left,5.325848971770983,20.200000000000003,14.874151028229019
3,1,left,4.833877187559934,16.6,11.766122812440067
4,2,straight,4.992713943536776,18.1,13.107286056463225
5,1,left,4.8612760010252964,20.8,15.938723998974705
6,2,straight,4.6514364856672925,12.0,7.3485635143327075
7,1,straight,4.677366766785895,12.600000000000001,7.922633233214106
8,2,straight,4.677622805917739,14.700000000000001,10.022377194082262
9,1,straight,4.4948993631685745,21.400000000000002,16.905100636831428
10,2,straight,4.666582981607674,12.5,7.833417018392326
11,1,straight,4.93648142320775,20.8,15.86351857679225
12,1,straight,4.493738119988885,12.100000000000001,7.606261880011116
13,2,straight,4.562973768511888,13.600000000000001,9.037026231488113
14,2,straight,4.509282379416705,11.8,7.290717620583296
15,2,straight,4.492992536070327,17.0,12.507007463929673
16,1,straight,4.496932338276259,16.1,11.603067661723742
17,2,straight,4.455234958913967,19.8,15.344765041086035
18,2,straight,4.476932217149542,18.3,13.823067782850458
19,2,straight,4.728006659159881,19.1,14.37199334084012
20,2,straight,4.459176052036792,24.0,19.540823947963208
21,2,straight,4.474816343891956,31.400000000000002,26.925183656108047
22,2,straight,4.44826700082721,14.8,10.35173299917279
23,2,straight,4.470348641720617,16.5,12.029651358279384
24,2,straight,4.496417238323087,38.5,34.00358276167691
25,2,straight,4.493799459246886,22.6,18.106200540753115
26,2,straight,4.766560029593119,19.6,14.833439970406882
27,2,straight,4.524282972251993,45.6,41.075717027748006
28,1,left,4.43272524432541,15.8,11.36727475567459
29,2,straight,4.4733322252664145,17.7,13.226667774733585
30,2,straight,4.458031923219096,20.6,16.141968076780906
31,2,straight,4.454520628714972,19.700000000000003,15.24547937128503
32,2,straight,4.448990753815187,27.0,22.55100924618481
33,1,left,4.423122954560785,19.8,15.376877045439215
34,1,left,4.499279897797221,17.400000000000002,12.900720102202781
