configuration,"instruction type: [2, 2]",traffic const: 0.1,1800.0 cars / hour
car id,turn type,lane,optimal travel time,actual travel time,delay
0,2,straight,4.894990922859142,16.1,11.20500907714086
1,2,straight,5.144251482441313,14.0,8.855748517558688
2,2,straight,4.732722792010292,13.100000000000001,8.367277207989709
3,1,straight,4.497846968882955,12.0,7.502153031117045
4,1,straight,4.626176051458293,15.9,11.273823948541708
5,1,straight,4.502052153068888,25.5,20.997947846931112
6,1,straight,4.5387562835892306,29.900000000000002,25.361243716410772
7,1,left,4.383326178299094,20.3,15.916673821700908
8,1,left,4.383163000565723,28.200000000000003,23.81683699943428
9,2,straight,4.45803462646703,17.3,12.841965373532972
10,1,left,4.7869847422316,18.400000000000002,13.613015257768403
11,2,straight,4.458047360548961,16.3,11.84195263945104
12,1,left,4.4072503803479295,16.8,12.392749619652072
13,2,straight,4.517644924900124,14.700000000000001,10.182355075099878
14,1,left,4.458117834286553,19.700000000000003,15.241882165713449
15,2,straight,4.5170625728637175,18.400000000000002,13.882937427136284
16,1,left,4.488218062261278,16.3,11.811781937738722
17,1,left,4.587207624425312,18.7,14.112792375574688
18,2,straight,4.6104346044878035,16.2,11.589565395512196
19,2,straight,4.670821544589058,14.5,9.829178455410942
20,2,straight,4.644485872577236,24.700000000000003,20.055514127422768
21,2,straight,4.746141626095895,14.200000000000001,9.453858373904106
22,2,straight,4.45941617920561,22.1,17.64058382079439
23,1,left,4.781898936849629,24.6,19.818101063150372
24,2,straight,4.490047449858256,30.6,26.109952550141745
25,1,straight,4.993272562054748,17.5,12.506727437945251
26,2,straight,4.996170041729858,15.5,10.503829958270142
27,2,straight,4.811039491817069,23.200000000000003,18.388960508182933
28,1,left,5.0652113704466055,14.5,9.434788629553395
29,2,straight,5.17688583768752,17.5,12.32311416231248
30,1,left,5.024222542438243,24.5,19.475777457561758
31,1,left,5.208197562619405,15.600000000000001,10.391802437380598
32,2,straight,4.652821286345472,17.8,13.14717871365453
33,1,left,5.283093586593057,15.700000000000001,10.416906413406945
34,2,straight,4.627419847132734,27.8,23.172580152867265
35,1,left,5.336805296410177,18.2,12.863194703589823
36,2,straight,5.500250845989074,17.3,11.799749154010927
37,1,left,5.313659664365688,28.400000000000002,23.086340335634315
38,2,straight,5.7233077486697574,16.1,10.376692251330244
39,1,straight,5.639120326229836,15.8,10.160879673770165
40,2,straight,4.671448990435969,31.900000000000002,27.228551009564033
41,2,straight,4.80943750708225,17.2,12.390562492917748
42,2,straight,4.485109454200754,19.0,14.514890545799247
43,2,straight,4.4734077082884856,29.400000000000002,24.926592291711515
44,2,straight,5.869681796855762,14.5,8.630318203144238
45,1,left,5.920249597627067,17.7,11.779750402372933
46,1,straight,6.012754412992148,15.5,9.487245587007852
47,2,straight,4.984660859576234,36.7,31.71533914042377
48,1,straight,5.954478561412737,27.200000000000003,21.245521438587268
49,2,straight,4.445675523470159,24.3,19.85432447652984
50,2,straight,4.444267605170118,34.5,30.05573239482988
51,2,straight,5.817278834368038,24.5,18.68272116563196
52,2,straight,6.481514701948562,16.7,10.218485298051437
53,1,straight,4.866158610762773,16.6,11.733841389237227
54,2,straight,4.445084238902711,44.900000000000006,40.4549157610973
55,2,straight,5.058780259481578,16.2,11.141219740518421
56,1,straight,4.900734025517902,29.700000000000003,24.7992659744821
57,2,straight,5.71477707955219,22.700000000000003,16.98522292044781
58,2,straight,4.445336343941175,36.0,31.554663656058825
59,1,left,6.6166918096500495,16.0,9.38330819034995
