configuration,"instruction type: [2, 2]",traffic const: 0.75,13500.0 cars / hour
car id,turn type,lane,optimal travel time,actual travel time,delay
0,1,left,5.2969186918754545,16.6,11.303081308124547
1,1,left,5.2969186918754545,14.9,9.603081308124546
2,2,straight,5.512372476442746,15.4,9.887627523557255
3,2,straight,4.867884483095674,12.4,7.532115516904327
4,2,straight,5.358073393521037,21.1,15.741926606478964
5,2,straight,4.919208906843576,14.4,9.480791093156425
6,2,straight,5.400973995894289,28.5,23.09902600410571
7,2,straight,5.199007862142151,16.1,10.90099213785785
8,2,straight,4.875617034347593,35.2,30.32438296565241
9,1,left,5.040983551025966,14.600000000000001,9.559016448974035
10,2,straight,4.991861071392174,17.3,12.308138928607827
11,2,straight,5.009911379593639,24.5,19.49008862040636
12,2,straight,5.289241844133759,37.0,31.71075815586624
13,2,straight,5.037655497787004,42.800000000000004,37.762344502213
14,2,straight,5.101945732135629,15.600000000000001,10.498054267864372
15,1,left,4.931642030742123,14.200000000000001,9.268357969257877
16,2,straight,5.130336368429882,23.200000000000003,18.069663631570123
17,2,straight,4.808503675626079,49.400000000000006,44.59149632437393
18,1,left,4.974381912347815,21.6,16.625618087652185
19,1,left,4.707679002132808,14.0,9.292320997867192
20,1,left,4.480292364369436,18.900000000000002,14.419707635630566
21,1,left,4.806404787871356,24.700000000000003,19.893595212128645
22,2,straight,4.809438946218506,13.5,8.690561053781494
23,1,left,4.777189885891384,20.700000000000003,15.922810114108618
24,1,left,4.73377326683681,15.700000000000001,10.966226733163191
25,2,straight,4.562964949293888,28.0,23.43703505070611
26,2,straight,4.723690442779637,19.200000000000003,14.476309557220365
27,2,straight,4.666650193100819,20.1,15.433349806899184
28,2,straight,4.746916013386991,27.3,22.55308398661301
29,2,straight,4.841823580187025,35.0,30.158176419812975
30,2,straight,4.792395795616051,23.3,18.50760420438395
31,1,left,4.565085081416368,21.3,16.734914918583634
32,2,straight,4.704115067226445,49.900000000000006,45.19588493277356
33,1,left,4.862124427145483,23.200000000000003,18.33787557285452
34,2,straight,4.524314965509835,56.800000000000004,52.27568503449017
35,2,straight,4.8166423488331365,57.0,52.183357651166865
36,1,left,4.501911531058368,18.7,14.19808846894163
37,1,left,4.433820718472837,12.8,8.366179281527163
38,1,left,4.585822123512306,27.6,23.014177876487697
39,2,straight,4.5569133697292825,39.900000000000006,35.343086630270726
40,2,straight,4.923127352664397,64.7,59.77687264733561
41,2,straight,4.896953857636419,27.700000000000003,22.803046142363584
42,1,left,4.6621958664481475,35.2,30.537804133551855
43,2,straight,5.079219535574106,72.3,67.22078046442589
44,2,straight,7.133823437617247,74.60000000000001,67.46617656238276
45,2,straight,4.5148210700471685,26.1,21.585178929952832
46,2,straight,7.218138081250525,74.5,67.28186191874947
47,1,left,4.797268768693441,20.700000000000003,15.90273123130656
48,2,straight,4.547163212952124,33.800000000000004,29.25283678704788
49,1,left,4.559722852936092,26.200000000000003,21.640277147063912
50,2,straight,4.663774281911969,40.1,35.43622571808803
51,1,left,4.440966271852708,18.900000000000002,14.459033728147293
52,2,straight,4.87677609401246,21.900000000000002,17.023223905987543
53,2,straight,4.942449271063007,39.400000000000006,34.457550728937
54,1,left,4.4702668669097445,26.5,22.029733133090254
55,2,straight,7.220878497782849,74.8,67.57912150221715
56,1,left,4.3854968022763305,31.200000000000003,26.814503197723674
57,1,left,4.752962678631386,42.7,37.94703732136862
58,2,straight,4.634617817984721,23.5,18.865382182015278
59,1,left,4.421968525058802,50.2,45.7780314749412
60,1,left,4.394154753980501,19.0,14.605845246019499
61,2,straight,4.444879064966074,39.400000000000006,34.95512093503393
62,1,left,4.8351767862306945,23.3,18.464823213769307
63,2,straight,4.708493280261285,30.900000000000002,26.19150671973872
64,2,straight,7.234763924991033,74.8,67.56523607500897
65,2,straight,4.773191022278143,38.900000000000006,34.126808977721865
66,2,straight,5.068006627327057,47.2,42.131993372672945
67,2,straight,4.785985593711652,34.7,29.914014406288352
68,2,straight,6.818942854880636,74.10000000000001,67.28105714511938
69,1,left,4.440974056787144,54.7,50.25902594321286
70,1,left,4.470276589699994,62.300000000000004,57.82972341030001
71,1,left,4.407878266863518,26.8,22.392121733136484
72,2,straight,6.6668784063482365,73.7,67.03312159365177
73,2,straight,4.488521879586081,52.5,48.01147812041392
74,2,straight,4.45999092533999,40.1,35.640009074660014
75,2,straight,6.664791562451019,74.0,67.33520843754899
76,2,straight,6.747582414032875,74.2,67.45241758596713
77,1,left,4.417460567201182,27.8,23.38253943279882
78,2,straight,6.743450631604966,74.0,67.25654936839503
79,2,straight,4.526536588800048,33.0,28.47346341119995
80,2,straight,4.561470836082873,40.300000000000004,35.73852916391713
81,1,left,5.145428893887219,51.5,46.35457110611278
82,1,left,4.440258858167199,35.4,30.9597411418328
83,2,straight,4.595182597631246,55.300000000000004,50.70481740236876
84,2,straight,4.678935122874577,42.300000000000004,37.62106487712543
85,2,straight,4.761557096091065,49.6,44.838442903908934
86,1,left,5.179608515586234,58.7,53.52039148441377
87,1,left,4.747342734886494,28.0,23.252657265113506
88,1,left,4.383790066153597,34.800000000000004,30.416209933846407
89,1,left,5.194693302656451,66.3,61.10530669734354
90,2,straight,4.554165267641714,53.400000000000006,48.84583473235829
91,2,straight,4.547748081711113,40.5,35.95225191828889
92,1,left,4.384539229983336,17.7,13.315460770016664
93,2,straight,4.601673147310173,48.300000000000004,43.69832685268983
94,1,left,5.243273441470984,73.7,68.45672655852901
95,1,left,4.678590728471813,30.700000000000003,26.02140927152819
96,2,straight,6.748101703580022,73.9,67.15189829641999
