configuration,"instruction type: [3, 3]",traffic const: 0.75,13500.0 cars / hour
car id,turn type,lane,optimal travel time,actual travel time,delay
0,1,left,4.534945665481574,18.3,13.765054334518426
1,1,left,4.628077542846757,16.8,12.171922457153244
2,3,straight,5.1192622803364864,13.700000000000001,8.580737719663514
3,1,left,5.124184634631903,17.0,11.875815365368098
4,3,straight,4.786332025390315,23.400000000000002,18.613667974609687
5,3,straight,5.060079129824653,16.1,11.039920870175347
6,2,straight,4.6414351193177685,15.0,10.35856488068223
7,1,left,4.561662030501139,16.8,12.238337969498861
8,1,left,4.6285296516669545,24.200000000000003,19.571470348333047
9,3,straight,4.719185712154105,14.600000000000001,9.880814287845897
10,1,left,4.484453101681975,21.0,16.515546898318025
11,3,straight,4.632346105334602,24.400000000000002,19.7676538946654
12,2,straight,4.6519519666294284,15.700000000000001,11.048048033370574
13,3,straight,4.793186377990749,19.8,15.00681362200925
14,3,straight,4.859894747613963,21.1,16.240105252386037
15,3,straight,4.627798639860053,26.1,21.472201360139948
16,2,straight,4.405862575897916,20.200000000000003,15.794137424102086
17,1,left,4.460746603551917,16.1,11.639253396448083
18,1,left,4.5493659072796655,18.6,14.050634092720337
19,2,straight,4.688303070779177,24.6,19.911696929220824
20,1,left,4.696294818257241,23.5,18.80370518174276
21,3,straight,4.623515034460754,16.400000000000002,11.776484965539249
22,3,straight,4.468018930833187,27.900000000000002,23.431981069166817
23,3,straight,4.769346950610784,21.1,16.330653049389216
24,1,left,4.426467722630455,13.0,8.573532277369544
25,2,straight,4.52945238427921,14.100000000000001,9.570547615720791
26,1,left,4.592066672719368,23.5,18.90793332728063
27,3,straight,4.6995415844557,24.5,19.8004584155443
28,1,left,4.388312750236703,17.5,13.111687249763296
29,1,left,4.552266841183349,23.5,18.94773315881665
30,2,straight,4.468253241485388,22.6,18.131746758514613
31,3,straight,4.443237073484202,13.600000000000001,9.1567629265158
32,1,left,4.25953496045112,27.6,23.34046503954888
33,1,left,4.457775882172852,15.600000000000001,11.14222411782715
34,1,left,4.460679834877015,17.3,12.839320165122984
35,2,straight,4.367688651517979,13.3,8.93231134848202
36,3,straight,4.859949434265361,29.5,24.64005056573464
37,2,straight,4.388899686059774,25.0,20.611100313940227
38,1,left,4.230896253186818,13.0,8.769103746813183
39,1,left,4.7554494497987445,24.5,19.744550550201254
40,1,left,4.387088702954159,20.3,15.912911297045842
41,1,left,4.292017699732605,20.8,16.507982300267397
42,1,left,4.360548049693465,25.900000000000002,21.539451950306535
43,2,straight,4.235668607694,16.1,11.864331392306001
44,3,straight,4.281296657046651,32.800000000000004,28.51870334295335
45,3,straight,4.339004321616955,19.700000000000003,15.360995678383048
46,2,straight,4.27499561373822,18.5,14.22500438626178
47,1,left,4.186123666819177,16.0,11.813876333180822
48,1,left,4.239555393391118,21.6,17.360444606608883
49,2,straight,4.265833227602569,20.1,15.834166772397431
50,1,left,4.443336946938172,31.0,26.55666305306183
51,2,straight,4.294670509556061,25.5,21.205329490443937
52,1,left,4.5413239609914875,36.0,31.458676039008513
53,1,left,4.655481846554429,41.1,36.44451815344557
54,1,left,4.151772614620608,19.200000000000003,15.048227385379395
55,3,straight,4.330344977164074,34.7,30.36965502283593
56,2,straight,4.306179848596336,16.3,11.993820151403664
57,1,left,4.562850439937438,17.900000000000002,13.337149560062564
58,1,left,4.3817143061011254,22.8,18.418285693898873
59,1,left,4.468561073263178,27.8,23.331438926736823
60,1,left,4.17850754497831,32.800000000000004,28.621492455021695
61,1,left,4.293417428097041,18.0,13.70658257190296
62,1,left,4.168195696346348,43.800000000000004,39.63180430365366
63,1,left,4.1363654705965756,22.5,18.363634529403424
64,1,left,4.3622603155935655,23.0,18.637739684406434
65,1,left,4.246288448227285,24.700000000000003,20.453711551772717
66,3,straight,4.417496940747333,19.8,15.382503059252667
67,3,straight,4.215799209550857,18.2,13.984200790449142
68,1,left,4.140098924880789,27.0,22.85990107511921
69,2,straight,4.21215600835267,15.100000000000001,10.887843991647332
70,1,left,4.303918445394686,29.700000000000003,25.396081554605317
