configuration,"instruction type: [2, 2]",traffic const: 0.5,9000.0 cars / hour
car id,turn type,lane,optimal travel time,actual travel time,delay
0,2,straight,5.667432224421676,17.400000000000002,11.732567775578326
1,1,straight,4.757249981726743,12.8,8.042750018273257
2,2,straight,5.358073393521037,15.600000000000001,10.241926606478964
3,1,left,4.740719187372027,13.4,8.659280812627973
4,1,straight,4.842114820330478,17.7,12.857885179669521
5,1,straight,4.891832493690366,15.200000000000001,10.308167506309635
6,2,straight,4.816981771817822,18.900000000000002,14.08301822818218
7,1,left,5.041142394341226,13.700000000000001,8.658857605658774
8,1,left,4.833944808882367,16.3,11.466055191117633
9,2,straight,4.721692586158332,14.3,9.578307413841669
10,2,straight,4.992598504898139,17.6,12.607401495101861
11,2,straight,5.023168404527228,24.6,19.576831595472775
12,1,straight,4.808503675626079,12.600000000000001,7.791496324373923
13,1,straight,4.6853090911410975,17.2,12.514690908858903
14,2,straight,5.079648890801366,31.5,26.420351109198634
15,1,straight,4.723929754148371,17.6,12.87607024585163
16,2,straight,4.502083682811834,21.200000000000003,16.69791631718817
17,2,straight,4.502083682811834,27.700000000000003,23.19791631718817
18,2,straight,4.4948993631685745,12.700000000000001,8.205100636831427
19,1,straight,4.705543241132963,18.400000000000002,13.69445675886704
20,2,straight,5.013538099105842,28.1,23.086461900894157
21,1,left,4.565085081416368,14.4,9.834914918583632
22,2,straight,4.992127453974751,28.6,23.60787254602525
23,2,straight,4.5436182398078495,16.1,11.556381760192153
24,2,straight,4.813898250465352,27.0,22.18610174953465
25,1,left,4.515143673097844,16.6,12.084856326902157
26,1,left,4.463187429442309,16.0,11.536812570557691
27,1,left,4.559686997890252,23.700000000000003,19.14031300210975
28,1,left,4.463202807228257,22.8,18.336797192771744
29,1,left,4.510656660666039,30.0,25.48934333933396
30,2,straight,4.9042508829115645,22.8,17.895749117088435
31,2,straight,5.024221026969819,29.900000000000002,24.875778973030183
32,2,straight,4.919943440301205,34.2,29.2800565596988
33,1,left,4.409390161330307,29.1,24.690609838669694
34,2,straight,4.550503099851985,37.9,33.34949690014801
35,2,straight,5.198291718825406,36.800000000000004,31.6017082811746
36,1,straight,4.605146478233757,32.6,27.994853521766245
37,2,straight,4.446522664488095,15.8,11.353477335511906
38,1,left,5.137258400833079,36.0,30.86274159916692
39,1,left,4.394145589028769,17.900000000000002,13.505854410971233
40,1,straight,4.468955259069478,23.8,19.331044740930523
41,1,straight,5.349935210139778,41.900000000000006,36.55006478986023
42,2,straight,4.444249418906321,43.5,39.055750581093676
43,1,left,4.811007998907273,21.3,16.488992001092726
44,2,straight,4.522407241253507,42.2,37.6775927587465
45,1,straight,5.018606048849322,27.200000000000003,22.18139395115068
46,1,straight,4.448263820638164,16.400000000000002,11.951736179361838
47,2,straight,4.446522664488093,20.200000000000003,15.75347733551191
48,2,straight,4.457556775038468,49.6,45.14244322496153
49,1,straight,4.44443924460284,23.900000000000002,19.455560755397162
50,1,straight,4.550521061949652,23.5,18.949478938050348
51,1,left,4.5440781283737826,31.8,27.255921871626217
52,1,straight,5.154870236646362,34.2,29.045129763353643
53,1,left,4.436549385419481,48.900000000000006,44.46345061458052
54,2,straight,4.49372590240689,18.900000000000002,14.406274097593112
55,1,straight,4.654623353845557,37.6,32.94537664615444
56,1,straight,4.732534057249264,44.900000000000006,40.16746594275074
57,2,straight,4.4519241150067534,23.1,18.648075884993247
58,2,straight,4.867948799530364,20.6,15.732051200469638
59,1,left,4.463218189000083,52.300000000000004,47.83678181099992
60,1,straight,4.4676036876360685,23.5,19.032396312363932
61,1,left,4.388805044450302,42.2,37.8111949555497
62,1,straight,5.094304290040921,42.2,37.10569570995908
63,2,straight,4.950428894193896,27.400000000000002,22.449571105806108
64,2,straight,4.55065352041315,46.300000000000004,41.749346479586855
65,1,left,4.45246242416327,56.1,51.64753757583673
66,2,straight,4.746821420240963,35.9,31.153178579759036
67,2,straight,4.841712654250078,43.300000000000004,38.45828734574992
68,1,straight,5.153381941784426,49.0,43.846618058215576
69,2,straight,4.535389512661718,14.9,10.364610487338282
70,2,straight,4.444457280370211,34.0,29.555542719629788
71,2,straight,4.493818268448109,20.0,15.50618173155189
72,1,straight,4.573540568018905,52.6,48.026459431981095
73,2,straight,4.4672889905302355,31.1,26.632711009469766
74,2,straight,4.479268265135829,38.800000000000004,34.320731734864175
75,1,straight,4.476763371610279,30.200000000000003,25.723236628389724
76,2,straight,4.533393479886375,45.5,40.96660652011362
77,1,left,4.556514832326467,61.0,56.44348516767353
78,1,left,4.392969568999731,35.2,30.80703043100027
79,1,straight,4.454733573634439,22.8,18.345266426365562
80,2,straight,4.480914624208133,27.1,22.61908537579187
81,1,straight,4.559002106713501,29.5,24.9409978932865
82,2,straight,4.604652803023492,43.6,38.99534719697651
83,2,straight,4.450601664820795,43.1,38.64939833517921
84,1,left,4.4010592972911615,42.5,38.09894070270884
85,2,straight,4.445176599544134,50.300000000000004,45.85482340045587
86,2,straight,4.725347952989101,42.7,37.9746520470109
87,2,straight,4.634672132869233,43.0,38.365327867130766
88,2,straight,4.816480996667354,49.800000000000004,44.98351900333265
89,2,straight,4.9229401720959824,57.0,52.077059827904016
90,1,straight,4.5096799511140615,25.0,20.490320048885938
91,1,left,4.600150652089862,60.900000000000006,56.29984934791014
92,1,straight,4.740454496297794,66.5,61.759545503702206
93,2,straight,4.543041528501465,51.5,46.95695847149854
94,1,left,4.491602478265765,33.7,29.208397521734238
95,2,straight,4.878730965241486,41.300000000000004,36.42126903475852
96,2,straight,4.934758449641888,48.400000000000006,43.465241550358115
97,1,straight,4.576864633716807,32.800000000000004,28.2231353662832
