configuration,"instruction type: [2, 2]",traffic const: 0.5,9000.0 cars / hour
car id,turn type,lane,optimal travel time,actual travel time,delay
0,2,straight,5.35800966191738,16.1,10.741990338082623
1,1,left,5.44106126653499,14.100000000000001,8.65893873346501
2,1,left,4.71556937231553,16.400000000000002,11.684430627684472
3,1,left,5.444744639754787,20.900000000000002,15.455255360245214
4,1,left,4.851879785725427,14.5,9.648120214274574
5,2,straight,5.144251482441313,15.600000000000001,10.455748517558689
6,1,left,5.040983551025966,14.600000000000001,9.559016448974035
7,2,straight,4.732479903370844,14.8,10.067520096629156
8,2,straight,5.097742431985438,13.100000000000001,8.002257568014564
9,1,left,4.833842100586537,14.600000000000001,9.766157899413464
10,2,straight,4.808398132607519,17.6,12.791601867392483
11,2,straight,5.082554895312504,20.3,15.217445104687496
12,1,left,4.891070615001451,22.1,17.20892938499855
13,1,left,4.838112757145939,25.400000000000002,20.561887242854063
14,2,straight,4.6262353081263665,19.6,14.973764691873635
15,2,straight,4.679048260293803,26.900000000000002,22.220951739706198
16,1,left,4.552745054357916,14.100000000000001,9.547254945642084
17,2,straight,4.768938942256638,19.6,14.831061057743362
18,1,left,4.606500768389257,26.700000000000003,22.093499231610746
19,2,straight,4.886735129806267,27.700000000000003,22.813264870193734
20,1,left,4.4345293068467875,20.1,15.665470693153214
21,2,straight,4.493704440912753,18.2,13.706295559087247
22,2,straight,5.0230130657017655,30.1,25.076986934298237
23,2,straight,4.685325442596185,13.100000000000001,8.414674557403817
24,2,straight,4.626214878585518,36.4,31.77378512141448
25,1,left,4.667060939004529,20.1,15.432939060995473
26,2,straight,4.698346976393044,43.800000000000004,39.10165302360696
27,1,left,4.793981929638037,28.1,23.306018070361965
28,2,straight,4.587291868898457,49.6,45.01270813110155
29,1,left,4.430645765759458,12.200000000000001,7.769354234240543
30,1,left,4.848911704935875,22.200000000000003,17.351088295064127
31,1,left,4.876855632342539,35.6,30.72314436765746
32,2,straight,4.448532143581488,15.700000000000001,11.251467856418513
33,1,left,4.969733404098217,29.700000000000003,24.730266595901785
34,1,left,5.1449380352740866,37.1,31.955061964725914
35,1,left,4.393244333494118,7.7,3.3067556665058824
36,2,straight,4.455240340370815,16.8,12.344759659629187
37,2,straight,4.453393244873279,57.300000000000004,52.84660675512673
38,2,straight,4.448437571185728,15.5,11.051562428814272
39,1,left,4.42999216150672,39.900000000000006,35.47000783849329
40,2,straight,5.22026707637369,58.7,53.479732923626315
41,2,straight,4.468961026309012,24.400000000000002,19.93103897369099
42,1,left,4.383414005228451,45.800000000000004,41.41658599477155
43,2,straight,4.453667072498182,18.5,14.046332927501819
44,2,straight,5.252830479501895,58.7,53.44716952049811
45,1,left,4.383225449331612,18.3,13.91677455066839
46,2,straight,5.292657164015547,65.8,60.50734283598445
47,1,left,4.396849597064684,15.100000000000001,10.703150402935318
48,2,straight,6.054675859000063,67.2,61.14532414099994
49,2,straight,4.472854789814696,15.200000000000001,10.727145210185306
50,1,left,4.40221415904332,24.3,19.89778584095668
51,2,straight,4.894916521534062,20.400000000000002,15.50508347846594
52,1,left,4.472210346389751,41.7,37.22778965361025
53,1,left,4.39122019385227,31.8,27.40877980614773
54,2,straight,4.451271916129041,25.1,20.64872808387096
55,1,left,4.426128361218883,33.0,28.573871638781117
56,2,straight,4.462691712616031,33.1,28.63730828738397
57,1,left,4.396756933301688,32.2,27.803243066698315
58,1,left,4.40352655348112,16.0,11.59647344651888
59,2,straight,4.502897090236639,31.8,27.29710290976336
60,1,left,4.395410058681503,23.700000000000003,19.3045899413185
61,1,left,4.467756373670377,33.7,29.232243626329627
62,1,left,4.503183157155848,41.2,36.69681684284416
63,1,left,4.4354597903928745,25.400000000000002,20.96454020960713
64,1,left,4.414087025521412,25.6,21.18591297447859
65,1,left,4.561309005326805,48.800000000000004,44.2386909946732
66,2,straight,6.115459367027036,74.3,68.18454063297295
67,1,left,4.402537640859722,53.7,49.29746235914028
68,1,left,4.420084681949107,61.300000000000004,56.8799153180509
69,1,left,4.435806602875014,33.2,28.764193397124988
70,1,left,4.4436898281390524,68.8,64.35631017186094
71,2,straight,4.493818268448109,18.6,14.106181731551892
72,1,left,6.919124279168111,74.7,67.78087572083189
73,2,straight,7.427750675038117,74.8,67.37224932496189
74,2,straight,7.927501612791197,75.3,67.3724983872088
75,2,straight,4.543707419107339,39.1,34.55629258089266
76,1,left,4.463360244024535,33.0,28.536639755975465
77,1,left,4.474575314698451,40.7,36.225424685301554
78,2,straight,4.547902980490176,40.6,36.05209701950982
79,2,straight,4.587197557759904,48.5,43.91280244224009
80,1,left,4.4739220380169975,43.1,38.626077961983
81,2,straight,4.650781473832246,56.0,51.34921852616775
82,2,straight,4.573019367631861,14.600000000000001,10.02698063236814
83,2,straight,4.552575468521204,22.6,18.047424531478796
84,2,straight,6.584970617074653,81.80000000000001,75.21502938292537
85,1,left,4.409388834846406,25.400000000000002,20.990611165153595
86,2,straight,4.587624980432851,55.300000000000004,50.712375019567155
87,1,left,4.693119724773508,21.6,16.90688027522649
88,1,left,4.78928121189415,29.0,24.21071878810585
89,2,straight,4.533711908999875,30.400000000000002,25.86628809100013
90,1,left,4.479178584412493,40.7,36.22082141558751
91,1,left,4.531904161921676,38.2,33.66809583807833
92,2,straight,4.480914624208133,26.0,21.519085375791867
93,1,left,4.422585099788178,38.900000000000006,34.477414900211826
94,1,left,6.906950186791747,74.7,67.79304981320826
95,2,straight,4.516481480153509,37.9,33.38351851984649
96,2,straight,4.568986104910578,55.2,50.631013895089424
97,2,straight,4.500938929837804,45.400000000000006,40.899061070162205
98,1,left,4.901080276582484,36.6,31.698919723417518
99,1,left,4.446935819058669,46.5,42.053064180941334
100,2,straight,4.461688182640592,50.5,46.03831181735941
101,1,left,4.6178982136203315,35.1,30.48210178637967
102,1,left,4.412101541777041,46.0,41.58789845822296
103,1,left,4.700530450490747,42.6,37.899469549509256
104,2,straight,5.079198314858067,79.60000000000001,74.52080168514195
105,1,left,4.433161635408175,53.6,49.166838364591825
106,1,left,4.834042223329317,72.3,67.46595777667068
107,2,straight,4.595158298093384,51.6,47.004841701906614
108,1,left,4.797954734332865,50.1,45.30204526566714
109,2,straight,4.444566086343866,22.8,18.355433913656135
110,2,straight,4.6282658736862015,63.1,58.4717341263138
111,1,left,4.911094267117501,57.6,52.6889057328825
112,2,straight,4.45480507327349,22.8,18.34519492672651
113,1,left,7.079917937829726,74.8,67.72008206217028
114,2,straight,6.719113229807217,81.7,74.98088677019278
115,1,left,5.0760633276987255,65.0,59.923936672301274
116,2,straight,4.579074210521378,26.900000000000002,22.320925789478622
117,2,straight,4.558193150611182,34.4,29.841806849388817
118,2,straight,4.576275029008832,64.2,59.62372497099117
119,2,straight,4.620825490793081,71.60000000000001,66.97917450920693
120,2,straight,7.325831679977746,74.8,67.47416832002224
121,2,straight,4.444877572675537,37.0,32.55512242732446
122,1,left,4.6050185830219,63.400000000000006,58.7949814169781
123,2,straight,4.6734861138136825,77.60000000000001,72.92651388618633
124,2,straight,7.493844897224417,75.3,67.80615510277558
125,1,left,4.412820103668024,56.800000000000004,52.38717989633198
126,1,left,7.706774077933596,75.60000000000001,67.8932259220664
127,1,left,6.989281599994175,74.9,67.91071840000583
128,2,straight,4.455638714881609,53.900000000000006,49.4443612851184
129,1,left,4.385298112259426,37.1,32.714701887740574
130,2,straight,4.477512326538514,46.6,42.122487673461485
131,1,left,4.405503928812096,32.300000000000004,27.89449607118791
132,2,straight,7.400068270098654,74.9,67.49993172990135
133,2,straight,4.450039921784953,45.0,40.54996007821505
134,1,left,4.685179592866086,70.9,66.21482040713391
135,1,left,6.98681464445536,74.8,67.81318535554463
136,2,straight,6.802311137316204,82.2,75.3976888626838
137,1,left,4.424210977685921,39.800000000000004,35.37578902231408
138,1,left,4.4490353700288745,47.5,43.050964629971126
139,1,left,6.842810616420203,74.60000000000001,67.7571893835798
140,2,straight,6.814133663026393,82.10000000000001,75.28586633697361
141,2,straight,4.456477065946154,52.5,48.04352293405385
142,2,straight,4.49998356093077,54.6,50.10001643906923
143,2,straight,6.7219018871857905,81.80000000000001,75.07809811281422
144,1,left,6.660125288389095,74.3,67.6398747116109
145,2,straight,7.074904151652208,74.2,67.1250958483478
146,2,straight,6.878405862444745,74.2,67.32159413755525
147,2,straight,7.053836750968939,74.60000000000001,67.54616324903107
148,2,straight,4.470831079217708,59.900000000000006,55.429168920782296
149,1,left,4.413443613958597,46.1,41.6865563860414
150,2,straight,7.449883702588149,74.8,67.35011629741184
151,2,straight,4.5287639102434305,62.1,57.57123608975657
152,2,straight,4.491079835301374,67.5,63.00892016469862
153,1,left,4.434951608635386,53.7,49.265048391364616
154,1,left,7.068424172755459,75.0,67.93157582724454
155,2,straight,7.435306438153138,75.2,67.76469356184687
156,2,straight,7.283841134325754,74.8,67.51615886567424
