configuration,"instruction type: [1, 1]",traffic const: 0.75,13500.0 cars / hour
car id,turn type,lane,optimal travel time,actual travel time,delay
0,1,straight,5.386563484720287,14.4,9.013436515279714
1,1,straight,5.273001272540623,22.400000000000002,17.12699872745938
2,1,straight,5.431924971019106,14.100000000000001,8.668075028980894
3,1,straight,5.512255794725049,16.900000000000002,11.387744205274952
4,1,left,5.425822940959192,25.700000000000003,20.27417705904081
5,1,left,5.144882512945817,16.8,11.655117487054184
6,1,straight,5.275834741940735,32.4,27.124165258059264
7,1,left,5.408390512433007,23.0,17.59160948756699
8,1,straight,5.4235362760009584,31.0,25.57646372399904
9,1,straight,5.273320581284557,39.1,33.82667941871544
10,1,left,5.360424613573215,16.7,11.339575386426784
11,1,straight,5.386621757015214,24.6,19.21337824298479
12,1,straight,5.423033256425451,33.0,27.57696674357455
13,1,left,5.391937715253798,42.300000000000004,36.90806228474621
14,1,straight,5.395660971381691,50.300000000000004,44.90433902861831
15,1,straight,5.632723416409359,59.400000000000006,53.76727658359064
16,1,straight,4.870000331048897,20.5,15.629999668951104
17,1,straight,5.249374687615716,67.60000000000001,62.350625312384295
18,1,straight,4.999746181813507,26.6,21.600253818186495
19,1,left,5.698610186138984,72.9,67.20138981386103
20,1,left,5.144778387858185,32.4,27.255221612141813
21,1,left,5.268502636560772,41.1,35.831497363439226
22,1,left,5.109143174188182,28.0,22.890856825811817
23,1,straight,5.210023975867969,80.80000000000001,75.58997602413204
24,1,straight,6.179360867795121,86.5,80.32063913220487
25,1,straight,5.161522282662556,32.4,27.238477717337442
26,1,left,6.9249737051697124,93.4,86.47502629483029
27,1,left,6.917107908346779,93.30000000000001,86.38289209165323
28,1,left,5.178727309387192,36.6,31.42127269061281
29,1,left,4.755690267289552,46.800000000000004,42.04430973271045
30,1,left,5.062513197592196,48.5,43.437486802407804
31,1,left,5.088969106705202,57.300000000000004,52.211030893294804
32,1,straight,5.333406739316052,44.800000000000004,39.46659326068395
33,1,straight,7.175234694538013,92.9,85.72476530546199
34,1,left,4.848170169920755,53.6,48.751829830079245
35,1,left,4.930211538898675,60.900000000000006,55.96978846110133
36,1,left,5.144787276336579,66.2,61.05521272366342
37,1,left,5.6092035862920095,61.7,56.09079641370799
38,1,straight,7.0697451139521865,92.9,85.83025488604783
39,1,left,4.848210840925648,37.0,32.151789159074355
40,1,straight,6.012210933591385,68.2,62.18778906640862
41,1,left,7.0577294710555485,93.60000000000001,86.54227052894446
42,1,left,5.889256388669343,70.3,64.41074361133066
